time	round	division	title	status	score	file	liveStats	video	boxScore	photos	quotes
2021-05-21T11:00-04:00	SF          	Women	#6 N.C. State vs <b>#2 Texas</b>                  	final	4-0       	../ncaaw/matches/R5_11-20_NCST_vs_TEX	http://scores.tennisticker.de/usa/ustanc/conf/league/sb.html?tournid=793&clubid=265-286&cn1=Texas&cn2=NC%20State&ci1=265&ci2=286&lid=83	https://t1.app.link/ncaachampionships	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/WSFTEXNCSU.pdf	https://www.ustanationalcampus.com/en/home/news/2021-womens-semifinal-photos.html	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/WSFTEXNCSUQuotes.pdf
2021-05-21T14:00-04:00	SF          	Men  	#3 Tennessee vs <b>#2 Baylor</b>                  	final	4-2       	../ncaam/matches/R5_11-20_TENN_vs_BAY	http://scores.tennisticker.de/usa/ustanc/conf/league/sb.html?tournid=794&clubid=552-257&cn1=Baylor&cn2=Tennessee&ci1=552&ci2=257&lid=82	https://t1.app.link/ncaachampionships	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/MSFBAYTENN.pdf		https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/MSFBAYTENNQuotes.pdf
2021-05-21T17:30-04:00	SF          	Women	<b>#5 Pepperdine</b> vs #1 North Carolina         	final	4-3       	../ncaaw/matches/R5_1-10_PEPP_vs_UNC	http://scores.tennisticker.de/usa/ustanc/conf/league/sb.html?tournid=792&clubid=584-733&cn1=UNC&cn2=Pepperdine&ci1=584&ci2=733&lid=83	https://tennischannel.com/?utm_source=tennis-dot-com&utm_medium=navigation	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/WSFPEPPUNC.pdf	https://www.ustanationalcampus.com/en/home/news/2021-womens-semifinal-photos.html	
2021-05-21T19:30-04:00	SF          	Men  	#4 Texas vs #1 Florida                            	in-progress	FLA (83%) 	../ncaam/matches/R5_1-10_TEX_vs_FLA	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=82	https://tennischannel.com/?utm_source=tennis-dot-com&utm_medium=navigation			
